period,fill,run,quality,comment,IR (kHz),mu,/
LHC24ap,10305,559361,good,,804.1,0.032,/
LHC24ap,10305,559362,good,,803.4,0.032,/
LHC24ap,10307,559385,good,,798.8,0.032,/
LHC24ap,10307,559386,good,,792.3,0.032,/
LHC24ap,10307,559387,good,,802.6,0.032,/
LHC24aq,10309,559408,good,,811,0.033,/
LHC24aq,10309,559409,good,,831,0.033,/
LHC24aq,10309,559410,good,,811.9,0.033,/
LHC24aq,10310,559423,good,,808.6,0.033,/
LHC24aq,10311,559437,good,,798.5,0.032,/
LHC24aq,10311,559443,good,,806.2,0.032,/
LHC24aq,10311,559444,good,,806.3,0.032,/
LHC24aq,10312,559456,good,,794.6,0.032,/
