period,fill,run,quality,comment,IR (kHz),coll bcs,/
LHC22p,8334,528597,good,,500,1737,/
LHC22p,8334,528602,good,,500,1737,/
LHC22p,8334,528604,good,,500,1737,/
LHC22p,8335,528617,good,,500,1737,/
LHC22p,8345,528781,good,,500,1737,/
LHC22p,8345,528782,good,,500,1737,/
LHC22p,8345,528783,good,,500,1737,/
LHC22p,8345,528784,good,,500,1737,/
LHC22p,8347,528798,good,,500,1737,/
LHC22p,8347,528801,good,,500,1737,/
LHC22q,8379,528991,bad,,6.5,20,/
LHC22q,8379,528997,not participating,,7.5,20,/
LHC22q,8379,529003,not participating,,7.5,20,/
LHC22q,8379,529005,good,,1.5,20,/
LHC22q,8379,529006,good,,0.8,20,/
LHC22q,8379,529008,good,,1.5,20,/
LHC22q,8379,529009,good,,1.5,20,/
LHC22q,8379,529011,not participating,,45,20,/
LHC22q,8379,529014,not participating,,35,20,/
LHC22q,8379,529015,good,,2,20,/
LHC22q,8381,529035,good,,15,35,/
LHC22q,8381,529037,good,,15,35,/
LHC22q,8381,529038,good,,15,35,/
LHC22q,8381,529039,good,,15,35,/
LHC22q,8381,529043,not participating,,15,35,/
LHC23b,8541,534133,not participating,,0.7,2,/
LHC23b,8542,534152,good,,0.5,2,/
LHC23b,8542,534161,good,,0.5,2,/
LHC23b,8550,534200,not participating,,4,8,/
LHC23b,8550,534201,not participating,,3,8,/
LHC23b,8550,534202,not participating,,2.5,8,/
LHC23b,8550,534205,not participating,,2,8,/
LHC23b,8550,534209,not participating,,1.5,8,/
LHC23b,8550,534215,good,comment!,1,8,/
LHC23b,8559,534265,good,comment!,3.5,8,/
LHC23b,8559,534267,good,comment!,2.5,8,/
LHC23b,8559,534268,good,comment!,1.5,8,/
LHC23b,8580,534453,not participating,,3,8,/
LHC23b,8580,534454,not participating,,2.5,8,/
LHC23b,8580,534468,not participating,,1.5,8,/
LHC23c,8637,534998,good,,20,2,/
LHC23c,8637,535001,good,,20,2,/
LHC23d,8639,535021,good,,70,8,/
LHC23d,8639,535022,good,,60,8,/
LHC23e,8642,535046,good,comment!,5.5,32,/
LHC23e,8642,535047,good,comment!,10,32,/
LHC23f,8644,535069,good,,10,32,/
LHC23f,8645,535084,good,,10,32,/
LHC23f,8645,535085,good,,10,32,/
LHC23f,8645,535087,good,beam splash 9 mins before EOR; chips not recovered,10,32,/
LHC23g,8675,535345,good,,55,320,/
LHC23g,8675,535365,good,,50,320,/
LHC23g,8685,535475,good,,50,320,/
LHC23g,8685,535476,good,,55,320,/
LHC23g,8685,535478,good,,55,320,/
LHC23g,8685,535479,good,,55,320,/
LHC23g,8685,535480,good,,50,320,/
LHC23g,8686,535514,good,,50,204,/
LHC23g,8686,535517,good,,50,204,/
LHC23g,8686,535525,bad,no reconfig after beam splash during 535524,55,204,/
LHC23g,8686,535526,good,,55,204,/
LHC23g,8690,535545,good,,50,204,/
LHC23g,8691,535563,not participating,,50,204,/
LHC23g,8691,535566,good,,50,204,/
LHC23h,8695,535613,good,,100,591,/
LHC23h,8695,535620,bad,declared globally BAD,100,591,/
LHC23h,8695,535621,good,,100,591,/
LHC23h,8695,535623,good,,100,591,/
LHC23h,8695,535624,good,,100,591,/
LHC23h,8695,535627,good,,100,591,/
LHC23h,8696,535644,good,,100,649,/
LHC23h,8696,535645,good,,100,649,/
LHC23h,8701,535711,not participating,,100,649,/
LHC23h,8701,535716,not participating,,100,649,/
LHC23h,8701,535721,good,,100,649,/
LHC23h,8701,535722,good,,100,649,/
LHC23h,8701,535725,good,,100,649,/
LHC23i,8723,535923,good,H0D0F1Z2 excl.,50,204,/
LHC23j,8724,535941,good,,100,649,/
LHC23j,8725,535964,good,,100,649,/
LHC23j,8725,535966,good,,100,649,/
LHC23k,8728,535983,good,,250,773,/
LHC23k,8729,535999,good,,250,773,/
LHC23k,8730,536020,good,,250,773,/
LHC23k,8730,536025,good,,250,773,/
LHC23l,8731,536055,good,,500,1057,/
LHC23l,8736,536106,good,,500,1057,/
LHC23l,8736,536108,good,,500,1057,/
LHC23l,8738,536151,not participating,,300,1057,/
LHC23l,8738,536155,not participating,,600,1057,/
LHC23l,8738,536163,not participating,,2000,1057,/
LHC23l,8738,536167,not participating,,2500,1057,/
LHC23l,8738,536176,not participating,,500,1057,/
LHC23l,8738,536199,not participating,,500,1057,/
LHC23m,8741,536235,good,H0D1F1Z2 excl.,250,1099,/
LHC23m,8741,536236,good,H0D1F1Z2 excl.,250,1099,/
LHC23m,8741,536237,good,H0D1F1Z2 excl.,250,1099,/
LHC23m,8741,536238,good,H0D1F1Z2 excl.,250,1099,/
LHC23m,8741,536239,good,H0D1F1Z2 excl.,250,1099,/
LHC23n,8746,536255,good,H0D1F1Z2 excl.,10,1730,/
LHC23n,8746,536257,good,H0D1F1Z2 excl.,10,1730,/
LHC23n,8746,536261,good,H0D1F1Z2 excl.,10,1730,/
LHC23n,8746,536262,good,H0D1F1Z2 excl.,10,1730,/
LHC23n,8754,536338,bad,distorted phi distribution,10,1730,/
LHC23n,8754,536339,good,,10,1730,/
LHC23n,8754,536340,good,,10,1730,/
LHC23n,8754,536343,good,,10,1730,/
LHC23n,8754,536344,good,,10,1730,/
LHC23n,8754,536346,good,,10,1730,/
LHC23n,8771,536370,good,,10,1730,/
LHC23n,8773,536400,bad,,10,1730,/
LHC23o,8773,536401,bad,many dead chips in H0; hole in the acceptance,55,1730,/
LHC23o,8773,536402,good,,55,1730,/
LHC23o,8773,536403,good,,55,1730,/
LHC23o,8775,536416,good,,55,1730,/
LHC23p,8778,536461,good,,0.4,1,/
LHC23q,8782,536487,good,,100,1730,/
LHC23q,8782,536488,good,,100,1730,/
LHC23q,8782,536489,good,beam splash at EOR \ra run crashed,100,1730,/
LHC23q,8782,536490,bad,no reconfig. after previous beam splash,100,1730,/
LHC23r,8784,536545,good,,250,1730,/
