period,fill,run,quality,comment,IR (kHz),coll bcs,/
LHC22o,8210,526383,good,,100,75,/
LHC22o,8210,526391,good,,90,75,/
LHC22o,8212,526432,not participating,,100,510,/
LHC22o,8214,526463,not participating,,500,1022,/
LHC22o,8214,526465,not participating,,500,1022,/
LHC22o,8214,526466,good,,500,1022,/
LHC22o,8214,526467,good,,500,1022,/
LHC22o,8214,526468,good,,500,1022,/
LHC22o,8216,526486,bad,H0D2 misconfigured,500,1022,/
LHC22o,8220,526505,good,,500,1737,/
LHC22o,8220,526508,good,HIR,1000,1737,/
LHC22o,8220,526510,good,HIR,1000,1737,/
LHC22o,8220,526512,good,,500,1737,/
LHC22o,8221,526525,good,,500,1737,/
LHC22o,8221,526526,good,,500,1737,/
LHC22o,8221,526528,good,,500,1737,/
LHC22o,8221,526529,not participating,,10,1737,/
LHC22o,8221,526530,not participating,,100,1737,/
LHC22o,8221,526532,not participating,,500,1737,/
LHC22o,8221,526533,not participating,,1000,1737,/
LHC22o,8221,526534,good,HIR,1000,1737,/
LHC22o,8222,526559,good,,500,1737,/
LHC22o,8223,526596,good,,500,1737,/
LHC22o,8223,526606,good,,500,1737,/
LHC22o,8223,526612,good,,500,1737,/
LHC22o,8225,526638,not participating,,500,1737,/
LHC22o,8225,526639,good,,500,1737,/
LHC22o,8225,526641,good,,500,1737,/
LHC22o,8225,526643,good,,500,1737,/
LHC22o,8225,526647,good,,500,1737,/
LHC22o,8225,526649,good,,500,1737,/
LHC22o,8226,526689,not participating,,0.9,8,/
LHC22o,8228,526712,good,HIR,1000,1737,/
LHC22o,8228,526713,good,,500,1737,/
LHC22o,8228,526714,good,,500,1737,/
LHC22o,8228,526715,good,,500,1737,/
LHC22o,8228,526716,good,,500,1737,/
LHC22o,8228,526719,good,,500,1737,/
LHC22o,8228,526720,good,,500,1737,/
LHC22o,8230,526776,good,,500,1737,/
LHC22o,8233,526802,good,,250,237,/
LHC22o,8233,526806,good,,250,237,/
LHC22o,8236,526860,good,,500,1737,/
LHC22o,8236,526865,good,,500,1737,/
LHC22o,8236,526886,good,,500,1737,/
LHC22o,8238,526926,good,HIR,1000,1737,/
LHC22o,8238,526927,good,HIR; mft-sft-decoder crashed,1000,1737,/
LHC22o,8238,526928,good,HIR; mft-sft-decoder crashed,1000,1737,/
LHC22o,8238,526929,not participating,HIR,1000,1737,/
LHC22o,8238,526934,good,HIR,1000,1737,/
LHC22o,8238,526935,good,HIR,1000,1737,/
LHC22o,8238,526937,good,HIR,1000,1737,/
LHC22o,8238,526938,good,,500,1737,/
LHC22o,8245,526963,good,,500,1737,/
LHC22o,8245,526964,good,,500,1737,/
LHC22o,8245,526966,good,,500,1737,/
LHC22o,8245,526967,bad,one half-disk lost: H0D4F0,500,1737,/
LHC22o,8245,526968,good,,500,1737,/
LHC22o,8247,527015,good,a higher number of chips in error: 32,500,1737,/
LHC22o,8247,527016,bad,a beam splash just before the SOR,500,1737,/
LHC22o,8247,527028,bad,a beam splash just before the SOR,500,1737,/
LHC22o,8247,527031,good,,500,1737,/
LHC22o,8247,527033,good,,500,1737,/
LHC22o,8247,527034,good,,500,1737,/
LHC22o,8247,527038,good,,500,1737,/
LHC22o,8247,527039,good,,500,1737,/
LHC22o,8247,527041,good,,500,1737,/
LHC22o,8248,527057,good,,500,1737,/
LHC22o,8248,527076,good,,450,1737,/
LHC22o,8253,527108,good,,500,1737,/
LHC22o,8253,527109,good,,500,1737,/
LHC22o,8260,527228,good,,500,1737,/
LHC22o,8260,527237,good,,500,1737,/
LHC22o,8260,527239,not participating,,500,1737,/
LHC22o,8260,527240,good,,500,1737,/
LHC22o,8263,527259,bad,problems with MFT FLP 184,500,1737,/
LHC22o,8263,527260,bad,problems with MFT FLP 184,500,1737,/
LHC22o,8263,527261,good,,500,1737,/
LHC22o,8263,527262,good,,500,1737,/
LHC22o,8267,527345,good,,500,1737,/
LHC22o,8267,527347,bad,wrong orbit synchronization,500,1737,/
LHC22o,8267,527349,good,,500,1737,/
LHC22o,8274,527446,good,,500,1737,/
LHC22o,8276,527518,good,,500,1737,/
LHC22o,8276,527522,good,,500,1737,/
LHC22o,8276,527523,good,,500,1737,/
LHC22o,8293,527671,good,LHC22o\_test,90,237,/
LHC22o,8295,527690,good,LHC22o\_test,500,1737,/
LHC22o,8295,527694,good,LHC22o\_test,500,1737,/
LHC22o,8297,527731,good,LHC22o\_test,500,1696,/
LHC22o,8297,527734,good,LHC22o\_test,500,1696,/
LHC22o,8297,527736,good,LHC22o\_test,500,1696,/
LHC22o,8299,527777,bad,LHC22o\_test,90,237,/
LHC22o,8301,527799,not participating,,100,237,/
LHC22o,8302,527821,good,,500,1737,/
LHC22o,8302,527825,good,,500,1737,/
LHC22o,8302,527826,good,,500,1737,/
LHC22o,8302,527828,good,,500,1737,/
LHC22o,8304,527848,good,,500,1737,/
LHC22o,8304,527850,good,,500,1737,/
LHC22o,8304,527852,good,,500,1737,/
